total_cases,new_cases,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,cases_test_ratio,target,cases_lag_1,cases_lag_2
10826363.0,0.0,154996.0,0.0,103.14,7595.19,108.74,0.0,0.07,0.98,205533398.0,743614.0,146.02,0.53,694401.0,0.49,0.02,61.9,8052454.0,8044786.0,7668.0,84807.0,325305.0,0.57,0.57,0.0,230.0,324209.0,0.02,61.57,0.0,0.0,,
10904940.0,0.0,155642.0,0.0,92.29,7650.32,109.19,0.0,0.06,1.04,207332298.0,615664.0,147.3,0.44,677792.0,0.48,0.02,60.1,8857341.0,8641002.0,216339.0,340570.0,320826.0,0.63,0.61,0.02,226.0,289920.0,0.02,61.57,0.0,0.0,0.0,
10904940.0,0.0,155642.0,0.0,92.29,7650.32,109.19,0.0,0.06,1.05,207977229.0,644931.0,147.76,0.46,664653.0,0.47,0.02,59.0,9186757.0,8844641.0,342116.0,329416.0,309949.0,0.65,0.62,0.02,219.0,261075.0,0.02,61.57,0.0,0.0,0.0,0.0
10904940.0,0.0,155642.0,0.0,92.29,7650.32,109.19,0.0,0.06,1.07,208703791.0,726562.0,148.27,0.52,668564.0,0.48,0.02,56.5,9846523.0,9381591.0,464932.0,659766.0,334502.0,0.69,0.66,0.03,236.0,268083.0,0.02,61.57,0.0,0.0,0.0,0.0
10904940.0,0.0,155642.0,0.0,92.29,7650.32,109.19,0.0,0.06,1.09,209474862.0,771071.0,148.82,0.55,669297.0,0.48,0.02,55.4,10449942.0,9693000.0,756942.0,603419.0,354614.0,0.74,0.68,0.05,250.0,246479.0,0.02,61.57,0.0,0.0,0.0,0.0
10904940.0,0.0,155642.0,0.0,92.29,7650.32,109.19,0.0,0.06,1.1,210261480.0,786618.0,149.38,0.56,675440.0,0.48,0.02,54.5,10838323.0,9964383.0,873940.0,388381.0,397981.0,0.76,0.7,0.06,281.0,274228.0,0.02,61.57,0.0,11.370347561495587,0.0,0.0
10991651.0,86711.0,156302.0,660.0,94.29,7711.15,109.65,0.46,0.07,1.11,210931530.0,670050.0,149.86,0.48,671574.0,0.48,0.02,52.7,11085173.0,10124531.0,960642.0,246850.0,400080.0,0.78,0.71,0.07,282.0,270402.0,0.02,61.57,0.1291158843018278,0.0,0.0,0.0
10991651.0,0.0,156302.0,0.0,94.29,7711.15,109.65,0.0,0.07,1.12,211551746.0,620216.0,150.3,0.44,690730.0,0.49,0.02,53.3,11424094.0,10308552.0,1115542.0,338921.0,415332.0,0.81,0.73,0.08,293.0,269986.0,0.02,61.57,0.0,0.0,86711.0,0.0
10991651.0,0.0,156302.0,0.0,94.29,7711.15,109.65,0.0,0.07,1.13,212230431.0,678685.0,150.78,0.48,699733.0,0.5,0.02,52.7,11907392.0,10585757.0,1321635.0,483298.0,435722.0,0.84,0.75,0.09,307.0,277822.0,0.02,61.57,0.0,0.0,0.0,86711.0
10991651.0,0.0,156302.0,0.0,94.29,7711.15,109.65,0.0,0.07,1.14,213036275.0,805844.0,151.35,0.57,722721.0,0.51,0.02,52.3,12366633.0,10884879.0,1481754.0,459241.0,454268.0,0.87,0.77,0.1,321.0,291463.0,0.02,63.43,0.0,0.0,0.0,0.0
